Page ID,Page name,Disclaimer,Amount spent (MXN)
1866274210308982,Instituto Municipal de la Mujer de Oaxaca de Juárez,These ads ran without a disclaimer,≤100
117186136743643,Raymundo Bolaños,Luis Bonilla,≤100
208777739161703,El Informante Baja California Sur,El Informante Baja California Sur,≤100
101237389222759,Alfonso Rodríguez Bautista,Morena Huehuetoca,≤100
286051098107613,Fuego Cruzado,Victor Hugo Chavez Luna,≤100
430130797730805,Sin Línea Mx,Sin Línea MX,≤100
92465443899,Reporte Índigo,Capital Media,≤100
481499309262962,Cuarta Transformación Tamaulipas,Cuarta Trasformación Tamaulipas,≤100
957262277720945,Carlos Ucán,Producciones Jaguar,≤100
110106650691896,Cintia Cuevas,MAD analytics,≤100
422544544574063,Centro de Estudios en Neurociencias y Psicología del Estado de Chiapas S.C.,Juan Carlos Nunez Hermosillo,≤100
148455605173946,Luces del Siglo,Luces del Siglo,≤100
822905401108747,PoderMX,PoderMX,≤100
105324158951762,Morena TV,Morena TV,≤100
1522195418029530,Político MX,Político MX,≤100
255087598160063,Radio 13 Digital,Radio 13 Digital,≤100
714752605293592,Daniel Camargo,Cuestión de Polémica,≤100
100439725731012,Preparatoria SEP en línea México,UNIDEV Universidad SC,≤100
106521845216893,Preparatoria en línea México SEP,UNIDEV Universidad SC,≤100
196493763808241,CEEY,CENTRO DE ESTUDIOS ESPINOSA YGLESIAS,≤100
264060497093390,Shamir Fernández Hernández,Gabriel Francisco Pedro,≤100
107539391652958,Estrella Rojas,Estrella Rojas,≤100
102945575151384,Korina Calderón,These ads ran without a disclaimer,≤100
106917395544366,Morena Red Digital,Fabian Ismael Torres Alvarez,≤100
172743493320097,Jorge Pérez Falconi,Jorge Pérez Falconi,≤100
370382380166587,Centro de Noticias Tamaulipas,Centro De Noticias Tamaulipas,≤100
858032527584472,Hiram Rodriguez L,Hiram Rodriguez L,≤100
1645564615715704,Secretaría de Salud de Hidalgo,Zito Octavio Alejandre Rosas,≤100
108139428568583,Carlos Sánchez MX,Carlos Alberto Sanchez Aguirre,≤100
320404528148304,Nacho Campos,Nacho Campos E.,≤100
239748533039750,PT Tlaxcala,Partido Del Trabajo Tlaxcala,≤100
1468723019887327,ddeser,ddeser,≤100
1103479286344796,Revista de Coahuila,Revista de Coahuila,≤100
100332908733199,Fundación Traxión,Fundación Traxión,≤100
104805888231365,Mexicano,"Editorial Kino, S.A. de C.V.",≤100
2080425052271475,IQ inteligencia Colectiva,Armando Tenorio,≤100
390356587683009,Dinorah Delgado,These ads ran without a disclaimer,≤100
176047519101203,Códice Informativo,Códice Informativo,≤100
105925314120759,Mario Bracamonte,Julián Reynoso Mazoy,≤100
366089314095889,PT Baja California,Partido del Trabajo Baja California,≤100
107756041807121,oxfam_es,These ads ran without a disclaimer,≤100
236858516331750,RADIOFUSION TV,Leonardo Hernandez,≤100
398748153472471,Fortia,Fortia Technology S.A de C.V,≤100
112093297280922,Mayra Torres,Mayra Torres Mercado,≤100
102253707800036,República Alterna,República Alterna,≤100
302448513146235,Jorge Romero Herrera,JORGE ROMERO,≤100
107308034009698,Partido del Trabajo Querétaro Estatal,Partido Del Trabajo Queretaro,≤100
365062723639932,The Humane League Latinoamérica,THE HUMANE LEAGUE MEXICO A.C.,≤100
187288641425273,Carlos de la Fuente,Carlos de la Fuente,≤100
110069878094786,Diverso Informativo,Pedro De Jesus Segura Madrid,≤100
105059024923454,Partido del Trabajo Quintana Roo,Partido Del Trabajo Quintana Roo,≤100
1854833181459690,Parabólica En Red,Parabólica,≤100
1284654961674075,Pepe Toño Garcia,Pepe Toño Garcia,≤100
631480117271130,No Está Chido,Consejo de la Comuniación,≤100
293522430773622,La Chispa,La Chispa MX,≤100
105548871464709,Politikmnte,Politikmnte,≤100
108579950910493,El Espectador Mx,El Espectador de Colima,≤100
681291175575804,Visible,Lievant Studio,≤100
253884044735368,PT Morelos,Partido Del Trabajo Morelos,≤100
104737784907579,Gonzalo Solís,Gonzalo Solís Lopez,≤100
526524330743264,JULIO LONG,Julio Iván Long Hernández,≤100
265650330509829,Miguel Hermida,Miguel David Hermida Copado,≤100
333932057250036,Alejandro Rojas Díaz Durán,ARDD,≤100
149334611927297,Benjamín Robles,Benjamín Robles,≤100
111747610668938,Nota Online.,Nota Online.,≤100
1856514037937535,SuperMesa,Ramon Jorge Guardado Pérez,≤100
198328023568183,Jorge G. Castañeda,Jorge Castañeda Gutman,≤100
265521856950021,PT Nayarit,Partido Del Trabajo Nayarit,≤100
105409565326997,El Transformador MX,Julián Reynoso Mazoy,≤100
220612165082734,Save Democracy,Save Democracy,≤100
1614410865470755,Columnas de México,Columnas de México,≤100
507708225954911,Fundación León XIII,Impact Click A.C.,≤100
340945746414391,Angeles Gutiérrez Valdez,Maria De Los Angeles Gutierrez Valdez,≤100
519051388241845,Fundación FEMSA,Fundación FEMSA,≤100
357785638352619,Eduardo Olmos Castro,Brecha Comunicación,≤100
106566624995548,El informante de Rio Bravo,El Informante de Rio Bravo,≤100
101295992671758,Libertarismo México,México Libertario,≤100
147302319358459,Nahúm Álvarez Pellico,Angel Gabriel Apale Rodriguez,≤100
390528021812774,Jorge Luis Llaven Abarca,Jorge Llaven,≤100
367510874030600,Te Protejo México,These ads ran without a disclaimer,≤100
165760267285896,Fernando Alvarez,Fernando Alvarez,≤100
1776691465889906,Diario de Vallarta & Nayarit,María Karina Macías Aguirre,≤100
473280473089704,Aurelia Leal López,Juan Francisco Cazarez Buelna,≤100
109433054731059,Ricardo Peña M.,Ricardo Peña Munguia,≤100
102255904996475,Geovanna Campos Vazquez,Julián Reynoso Mazoy,≤100
923994957653139,Luisa Gutiérrez Ureña,Luisa Adriana Gutiérrez Ureña,≤100
338222953194480,RuletaRusa.mx,Enrique Rangel,≤100
538376106328648,Alberto Viveros Noticias,Alberto Viveros Noticias,≤100
258695157666429,Caminos de Guanajuato,Caminos de Guanajuat0,≤100
1329071977102915,Pacto Mundial México,"Red del Pacto Mundial de y en México, A. C.",≤100
140110469912857,Hola Guerrero,Hola Media Content,≤100
432923167438353,Jorge Hernández Aguilera,Julián Reynoso Mazoy,≤100
106811552699981,Eduardo Rodriguez,Jose Eduardo Rodriguez Perez,≤100
1708378782713605,Pulmón Urbano A.C.,Pulmón Urbano A.C.,≤100
100711195224121,Mexicanos por la 4T Jalisco,Abraham Heriberto Moreno Hernandez,≤100
102151858388480,Ernesto Mena,Joel de Jesus Patiño Marquez,≤100
109399105267583,COLINTECH_Energías Renovables,These ads ran without a disclaimer,≤100
105474771617591,Gabriela López Olivera López,Edgar Eduardo Gutierrez Santiago,≤100
110148773790832,Beto Arias.,Alberto Arias Medrano,≤100
226699804054458,Juan Carlos Barragán Vélez,Juan Carlos Barragan Velez,≤100
358607307547018,Evaluare,IEXE Universidad,≤100
293707754465943,Toño Mejía,Redboxmex,≤100
112039950452398,Abel Meza,Abel Palomera Meza,≤100
175073499312968,Adry Flores,These ads ran without a disclaimer,≤100
2059420467624770,El Tecolote Diario,El Tecolote Diario,≤100
100106075878577,Noticias por la mañana,Diana Itzel Elbort Carrasco,≤100
342362465916049,Acanto y Laurel.,These ads ran without a disclaimer,≤100
159970704486664,Focos Mx,"Equidad de Género, Ciudadanía, Trabajo y Familia",≤100
996060393800265,Betty Rivera al Aire TV,Beatriz Rivera,≤100
126951727515062,Ola Noticias,Ola Noticias,≤100
253671944703113,Lilia Aguilar,Lilia Aguilar,≤100
275606287530,CEMEX,These ads ran without a disclaimer,≤100
213247992038369,Academia de Ballet Felipe Méndez,Felipe Méndez,≤100
101560982077028,En Puebla Noticias,En Puebla Noticias,≤100
248040005385097,Movimiento Ciudadano San Luis Potosí,Movimiento Ciudadano San Luis Potosí,≤100
101938768900219,Nea,"Grit Payment Solutions, S.A.P.I. de C.V.",≤100
100366944829877,Vero Naranjo,Juan Antonio González,≤100
510663815758947,Mike Peñaflor,Aldo Dario Torres Lopez,≤100
123706374310822,Lo de Hoy México,LCC Mkt,≤100
583723315168183,El Jaguar,La Agencia de la ONU para los Refugiados (ACNUR) México,≤100
467424996724115,Gerardo Estrada,Hector Estrada,≤100
152011584813882,Expo Cihac,These ads ran without a disclaimer,≤100
108280497676244,Heaven,These ads ran without a disclaimer,≤100
102339105794347,𝐃𝐢𝐩𝐮𝐭𝐚𝐝𝐨 𝐁𝐞𝐭𝐨 𝐒𝐚́𝐧𝐜𝐡𝐞𝐳,Fernando Virto Nájera,≤100
2059420467624770,El Tecolote Diario,These ads ran without a disclaimer,≤100
101121142827861,Periodistas Anónimos,These ads ran without a disclaimer,≤100
280927511972014,La Orquesta,La Orquesta,≤100
1612243815728176,México Bien Hecho,These ads ran without a disclaimer,≤100
201599513204304,La Cruda Realidad Docente,Rodrigo Luna Guevara,≤100
655350018200810,Edgar MH,Edgar MH Mx,≤100
857608504308460,Toño Gutiérrez Jardón,Jose Antonio Gutierrez Jardon,≤100
242666444366187,H. Ayuntamiento de Huatabampo Administración 2021-2024,Alberto Ibarra,≤100
102671745885594,Elí González,These ads ran without a disclaimer,≤100
124252504303223,UNICEF (FR),UNICEF avec des crédits publicitaires Facebook,≤100
104748932470097,,Nubia De La Rosa,≤100
193707530772179,Caliente Sports,These ads ran without a disclaimer,≤100
515778251960125,Brigido Moreno,These ads ran without a disclaimer,≤100
101252319464587,la_biblioteca_de_shiara,These ads ran without a disclaimer,≤100
101073722741982,_alexnoury_,These ads ran without a disclaimer,≤100
8539814909,International Animal Rescue,These ads ran without a disclaimer,≤100
340390949982808,Hay que decirlo,These ads ran without a disclaimer,≤100
109661270844093,Desactiva la trata,These ads ran without a disclaimer,≤100
